Train_Number,Source_Station,Destination_Station,Avg_Delay
2564,CNB,ASH,98
2564,CNB,BST,168
2564,CNB,GKP,166
2564,CNB,DEOS,176
2564,CNB,SV,179
2564,CNB,CPR,212
2564,CNB,MFP,265
2564,CNB,BJU,348
2564,ASH,BST,168
2564,ASH,GKP,166
2564,ASH,DEOS,176
2564,ASH,SV,179
2564,ASH,CPR,212
2564,ASH,MFP,265
2564,ASH,BJU,348
2564,BST,GKP,166
2564,BST,DEOS,176
2564,BST,SV,179
2564,BST,CPR,212
2564,BST,MFP,265
2564,BST,BJU,348
2564,GKP,DEOS,176
2564,GKP,SV,179
2564,GKP,CPR,212
2564,GKP,MFP,265
2564,GKP,BJU,348
2564,DEOS,SV,179
2564,DEOS,CPR,212
2564,DEOS,MFP,265
2564,DEOS,BJU,348
2564,SV,CPR,212
2564,SV,MFP,265
2564,SV,BJU,348
2564,CPR,MFP,265
2564,CPR,BJU,348
2564,MFP,BJU,348
2569,DBG,SPJ,40
2569,DBG,MFP,62
2569,DBG,CPR,103
2569,DBG,SV,120
2569,DBG,DEOS,143
2569,DBG,GKP,185
2569,DBG,BST,206
2569,DBG,ASH,281
2569,DBG,CNB,324
2569,DBG,NDLS,360
2569,SPJ,MFP,62
2569,SPJ,CPR,103
2569,SPJ,SV,120
2569,SPJ,DEOS,143
2569,SPJ,GKP,185
2569,SPJ,BST,206
2569,SPJ,ASH,281
2569,SPJ,CNB,324
2569,SPJ,NDLS,360
2569,MFP,CPR,103
2569,MFP,SV,120
2569,MFP,DEOS,143
2569,MFP,GKP,185
2569,MFP,BST,206
2569,MFP,ASH,281
2569,MFP,CNB,324
2569,MFP,NDLS,360
2569,CPR,SV,120
2569,CPR,DEOS,143
2569,CPR,GKP,185
2569,CPR,BST,206
2569,CPR,ASH,281
2569,CPR,CNB,324
2569,CPR,NDLS,360
2569,SV,DEOS,143
2569,SV,GKP,185
2569,SV,BST,206
2569,SV,ASH,281
2569,SV,CNB,324
2569,SV,NDLS,360
2569,DEOS,GKP,185
2569,DEOS,BST,206
2569,DEOS,ASH,281
2569,DEOS,CNB,324
2569,DEOS,NDLS,360
2569,GKP,BST,206
2569,GKP,ASH,281
2569,GKP,CNB,324
2569,GKP,NDLS,360
2569,BST,ASH,281
2569,BST,CNB,324
2569,BST,NDLS,360
2569,ASH,CNB,324
2569,ASH,NDLS,360
2569,CNB,NDLS,360
2570,NDLS,CNB,137
2570,NDLS,ASH,176
2570,NDLS,BST,258
2570,NDLS,GKP,260
2570,NDLS,DEOS,271
2570,NDLS,SV,292
2570,NDLS,CPR,266
2570,NDLS,MFP,303
2570,NDLS,SPJ,333
2570,NDLS,DBG,324
2570,CNB,ASH,176
2570,CNB,BST,258
2570,CNB,GKP,260
2570,CNB,DEOS,271
2570,CNB,SV,292
2570,CNB,CPR,266
2570,CNB,MFP,303
2570,CNB,SPJ,333
2570,CNB,DBG,324
2570,ASH,BST,258
2570,ASH,GKP,260
2570,ASH,DEOS,271
2570,ASH,SV,292
2570,ASH,CPR,266
2570,ASH,MFP,303
2570,ASH,SPJ,333
2570,ASH,DBG,324
2570,BST,GKP,260
2570,BST,DEOS,271
2570,BST,SV,292
2570,BST,CPR,266
2570,BST,MFP,303
2570,BST,SPJ,333
2570,BST,DBG,324
2570,GKP,DEOS,271
2570,GKP,SV,292
2570,GKP,CPR,266
2570,GKP,MFP,303
2570,GKP,SPJ,333
2570,GKP,DBG,324
2570,DEOS,SV,292
2570,DEOS,CPR,266
2570,DEOS,MFP,303
2570,DEOS,SPJ,333
2570,DEOS,DBG,324
2570,SV,CPR,266
2570,SV,MFP,303
2570,SV,SPJ,333
2570,SV,DBG,324
2570,CPR,MFP,303
2570,CPR,SPJ,333
2570,CPR,DBG,324
2570,MFP,SPJ,333
2570,MFP,DBG,324
2570,SPJ,DBG,324
3007,HWH,BDC,1
3007,HWH,BWN,39
3007,HWH,DGR,50
3007,HWH,ASN,53
3007,HWH,CRJ,69
3007,HWH,MDP,75
3007,HWH,JSME,79
3007,HWH,JAJ,63
3007,HWH,KIUL,78
3007,HWH,MKA,98
3007,HWH,BKP,121
3007,HWH,PNBE,144
3007,HWH,DNR,158
3007,HWH,ARA,177
3007,HWH,BXR,196
3007,HWH,DDU,203
3007,HWH,PRYJ,211
3007,HWH,GOY,226
3007,HWH,TDL,163
3007,HWH,AF,166
3007,HWH,CNB,155
3007,HWH,ETW,360
3007,HWH,FAB,500
3007,HWH,SSDT,378
3007,HWH,AGC,354
3007,HWH,AH,194
3007,HWH,BTE,401
3007,HWH,BKI,216
3007,HWH,DO,219
3007,HWH,KWP,209
3007,HWH,JP,251
3007,HWH,RGS,245
3007,HWH,SIKR,239
3007,HWH,JJN,241
3007,HWH,LHU,170
3007,HWH,SDLP,179
3007,HWH,HSR,165
3007,BDC,BWN,39
3007,BDC,DGR,50
3007,BDC,ASN,53
3007,BDC,CRJ,69
3007,BDC,MDP,75
3007,BDC,JSME,79
3007,BDC,JAJ,63
3007,BDC,KIUL,78
3007,BDC,MKA,98
3007,BDC,BKP,121
3007,BDC,PNBE,144
3007,BDC,DNR,158
3007,BDC,ARA,177
3007,BDC,BXR,196
3007,BDC,DDU,203
3007,BDC,PRYJ,211
3007,BDC,GOY,226
3007,BDC,TDL,163
3007,BDC,AF,166
3007,BDC,CNB,155
3007,BDC,ETW,360
3007,BDC,FAB,500
3007,BDC,SSDT,378
3007,BDC,AGC,354
3007,BDC,AH,194
3007,BDC,BTE,401
3007,BDC,BKI,216
3007,BDC,DO,219
3007,BDC,KWP,209
3007,BDC,JP,251
3007,BDC,RGS,245
3007,BDC,SIKR,239
3007,BDC,JJN,241
3007,BDC,LHU,170
3007,BDC,SDLP,179
3007,BDC,HSR,165
3007,BWN,DGR,50
3007,BWN,ASN,53
3007,BWN,CRJ,69
3007,BWN,MDP,75
3007,BWN,JSME,79
3007,BWN,JAJ,63
3007,BWN,KIUL,78
3007,BWN,MKA,98
3007,BWN,BKP,121
3007,BWN,PNBE,144
3007,BWN,DNR,158
3007,BWN,ARA,177
3007,BWN,BXR,196
3007,BWN,DDU,203
3007,BWN,PRYJ,211
3007,BWN,GOY,226
3007,BWN,TDL,163
3007,BWN,AF,166
3007,BWN,CNB,155
3007,BWN,ETW,360
3007,BWN,FAB,500
3007,BWN,SSDT,378
3007,BWN,AGC,354
3007,BWN,AH,194
3007,BWN,BTE,401
3007,BWN,BKI,216
3007,BWN,DO,219
3007,BWN,KWP,209
3007,BWN,JP,251
3007,BWN,RGS,245
3007,BWN,SIKR,239
3007,BWN,JJN,241
3007,BWN,LHU,170
3007,BWN,SDLP,179
3007,BWN,HSR,165
3007,DGR,ASN,53
3007,DGR,CRJ,69
3007,DGR,MDP,75
3007,DGR,JSME,79
3007,DGR,JAJ,63
3007,DGR,KIUL,78
3007,DGR,MKA,98
3007,DGR,BKP,121
3007,DGR,PNBE,144
3007,DGR,DNR,158
3007,DGR,ARA,177
3007,DGR,BXR,196
3007,DGR,DDU,203
3007,DGR,PRYJ,211
3007,DGR,GOY,226
3007,DGR,TDL,163
3007,DGR,AF,166
3007,DGR,CNB,155
3007,DGR,ETW,360
3007,DGR,FAB,500
3007,DGR,SSDT,378
3007,DGR,AGC,354
3007,DGR,AH,194
3007,DGR,BTE,401
3007,DGR,BKI,216
3007,DGR,DO,219
3007,DGR,KWP,209
3007,DGR,JP,251
3007,DGR,RGS,245
3007,DGR,SIKR,239
3007,DGR,JJN,241
3007,DGR,LHU,170
3007,DGR,SDLP,179
3007,DGR,HSR,165
3007,ASN,CRJ,69
3007,ASN,MDP,75
3007,ASN,JSME,79
3007,ASN,JAJ,63
3007,ASN,KIUL,78
3007,ASN,MKA,98
3007,ASN,BKP,121
3007,ASN,PNBE,144
3007,ASN,DNR,158
3007,ASN,ARA,177
3007,ASN,BXR,196
3007,ASN,DDU,203
3007,ASN,PRYJ,211
3007,ASN,GOY,226
3007,ASN,TDL,163
3007,ASN,AF,166
3007,ASN,CNB,155
3007,ASN,ETW,360
3007,ASN,FAB,500
3007,ASN,SSDT,378
3007,ASN,AGC,354
3007,ASN,AH,194
3007,ASN,BTE,401
3007,ASN,BKI,216
3007,ASN,DO,219
3007,ASN,KWP,209
3007,ASN,JP,251
3007,ASN,RGS,245
3007,ASN,SIKR,239
3007,ASN,JJN,241
3007,ASN,LHU,170
3007,ASN,SDLP,179
3007,ASN,HSR,165
3007,CRJ,MDP,75
3007,CRJ,JSME,79
3007,CRJ,JAJ,63
3007,CRJ,KIUL,78
3007,CRJ,MKA,98
3007,CRJ,BKP,121
3007,CRJ,PNBE,144
3007,CRJ,DNR,158
3007,CRJ,ARA,177
3007,CRJ,BXR,196
3007,CRJ,DDU,203
3007,CRJ,PRYJ,211
3007,CRJ,GOY,226
3007,CRJ,TDL,163
3007,CRJ,AF,166
3007,CRJ,CNB,155
3007,CRJ,ETW,360
3007,CRJ,FAB,500
3007,CRJ,SSDT,378
3007,CRJ,AGC,354
3007,CRJ,AH,194
3007,CRJ,BTE,401
3007,CRJ,BKI,216
3007,CRJ,DO,219
3007,CRJ,KWP,209
3007,CRJ,JP,251
3007,CRJ,RGS,245
3007,CRJ,SIKR,239
3007,CRJ,JJN,241
3007,CRJ,LHU,170
3007,CRJ,SDLP,179
3007,CRJ,HSR,165
3007,MDP,JSME,79
3007,MDP,JAJ,63
3007,MDP,KIUL,78
3007,MDP,MKA,98
3007,MDP,BKP,121
3007,MDP,PNBE,144
3007,MDP,DNR,158
3007,MDP,ARA,177
3007,MDP,BXR,196
3007,MDP,DDU,203
3007,MDP,PRYJ,211
3007,MDP,GOY,226
3007,MDP,TDL,163
3007,MDP,AF,166
3007,MDP,CNB,155
3007,MDP,ETW,360
3007,MDP,FAB,500
3007,MDP,SSDT,378
3007,MDP,AGC,354
3007,MDP,AH,194
3007,MDP,BTE,401
3007,MDP,BKI,216
3007,MDP,DO,219
3007,MDP,KWP,209
3007,MDP,JP,251
3007,MDP,RGS,245
3007,MDP,SIKR,239
3007,MDP,JJN,241
3007,MDP,LHU,170
3007,MDP,SDLP,179
3007,MDP,HSR,165
3007,JSME,JAJ,63
3007,JSME,KIUL,78
3007,JSME,MKA,98
3007,JSME,BKP,121
3007,JSME,PNBE,144
3007,JSME,DNR,158
3007,JSME,ARA,177
3007,JSME,BXR,196
3007,JSME,DDU,203
3007,JSME,PRYJ,211
3007,JSME,GOY,226
3007,JSME,TDL,163
3007,JSME,AF,166
3007,JSME,CNB,155
3007,JSME,ETW,360
3007,JSME,FAB,500
3007,JSME,SSDT,378
3007,JSME,AGC,354
3007,JSME,AH,194
3007,JSME,BTE,401
3007,JSME,BKI,216
3007,JSME,DO,219
3007,JSME,KWP,209
3007,JSME,JP,251
3007,JSME,RGS,245
3007,JSME,SIKR,239
3007,JSME,JJN,241
3007,JSME,LHU,170
3007,JSME,SDLP,179
3007,JSME,HSR,165
3007,JAJ,KIUL,78
3007,JAJ,MKA,98
3007,JAJ,BKP,121
3007,JAJ,PNBE,144
3007,JAJ,DNR,158
3007,JAJ,ARA,177
3007,JAJ,BXR,196
3007,JAJ,DDU,203
3007,JAJ,PRYJ,211
3007,JAJ,GOY,226
3007,JAJ,TDL,163
3007,JAJ,AF,166
3007,JAJ,CNB,155
3007,JAJ,ETW,360
3007,JAJ,FAB,500
3007,JAJ,SSDT,378
3007,JAJ,AGC,354
3007,JAJ,AH,194
3007,JAJ,BTE,401
3007,JAJ,BKI,216
3007,JAJ,DO,219
3007,JAJ,KWP,209
3007,JAJ,JP,251
3007,JAJ,RGS,245
3007,JAJ,SIKR,239
3007,JAJ,JJN,241
3007,JAJ,LHU,170
3007,JAJ,SDLP,179
3007,JAJ,HSR,165
3007,KIUL,MKA,98
3007,KIUL,BKP,121
3007,KIUL,PNBE,144
3007,KIUL,DNR,158
3007,KIUL,ARA,177
3007,KIUL,BXR,196
3007,KIUL,DDU,203
3007,KIUL,PRYJ,211
3007,KIUL,GOY,226
3007,KIUL,TDL,163
3007,KIUL,AF,166
3007,KIUL,CNB,155
3007,KIUL,ETW,360
3007,KIUL,FAB,500
3007,KIUL,SSDT,378
3007,KIUL,AGC,354
3007,KIUL,AH,194
3007,KIUL,BTE,401
3007,KIUL,BKI,216
3007,KIUL,DO,219
3007,KIUL,KWP,209
3007,KIUL,JP,251
3007,KIUL,RGS,245
3007,KIUL,SIKR,239
3007,KIUL,JJN,241
3007,KIUL,LHU,170
3007,KIUL,SDLP,179
3007,KIUL,HSR,165
3007,MKA,BKP,121
3007,MKA,PNBE,144
3007,MKA,DNR,158
3007,MKA,ARA,177
3007,MKA,BXR,196
3007,MKA,DDU,203
3007,MKA,PRYJ,211
3007,MKA,GOY,226
3007,MKA,TDL,163
3007,MKA,AF,166
3007,MKA,CNB,155
3007,MKA,ETW,360
3007,MKA,FAB,500
3007,MKA,SSDT,378
3007,MKA,AGC,354
3007,MKA,AH,194
3007,MKA,BTE,401
3007,MKA,BKI,216
3007,MKA,DO,219
3007,MKA,KWP,209
3007,MKA,JP,251
3007,MKA,RGS,245
3007,MKA,SIKR,239
3007,MKA,JJN,241
3007,MKA,LHU,170
3007,MKA,SDLP,179
3007,MKA,HSR,165
3007,BKP,PNBE,144
3007,BKP,DNR,158
3007,BKP,ARA,177
3007,BKP,BXR,196
3007,BKP,DDU,203
3007,BKP,PRYJ,211
3007,BKP,GOY,226
3007,BKP,TDL,163
3007,BKP,AF,166
3007,BKP,CNB,155
3007,BKP,ETW,360
3007,BKP,FAB,500
3007,BKP,SSDT,378
3007,BKP,AGC,354
3007,BKP,AH,194
3007,BKP,BTE,401
3007,BKP,BKI,216
3007,BKP,DO,219
3007,BKP,KWP,209
3007,BKP,JP,251
3007,BKP,RGS,245
3007,BKP,SIKR,239
3007,BKP,JJN,241
3007,BKP,LHU,170
3007,BKP,SDLP,179
3007,BKP,HSR,165
3007,PNBE,DNR,158
3007,PNBE,ARA,177
3007,PNBE,BXR,196
3007,PNBE,DDU,203
3007,PNBE,PRYJ,211
3007,PNBE,GOY,226
3007,PNBE,TDL,163
3007,PNBE,AF,166
3007,PNBE,CNB,155
3007,PNBE,ETW,360
3007,PNBE,FAB,500
3007,PNBE,SSDT,378
3007,PNBE,AGC,354
3007,PNBE,AH,194
3007,PNBE,BTE,401
3007,PNBE,BKI,216
3007,PNBE,DO,219
3007,PNBE,KWP,209
3007,PNBE,JP,251
3007,PNBE,RGS,245
3007,PNBE,SIKR,239
3007,PNBE,JJN,241
3007,PNBE,LHU,170
3007,PNBE,SDLP,179
3007,PNBE,HSR,165
3007,DNR,ARA,177
3007,DNR,BXR,196
3007,DNR,DDU,203
3007,DNR,PRYJ,211
3007,DNR,GOY,226
3007,DNR,TDL,163
3007,DNR,AF,166
3007,DNR,CNB,155
3007,DNR,ETW,360
3007,DNR,FAB,500
3007,DNR,SSDT,378
3007,DNR,AGC,354
3007,DNR,AH,194
3007,DNR,BTE,401
3007,DNR,BKI,216
3007,DNR,DO,219
3007,DNR,KWP,209
3007,DNR,JP,251
3007,DNR,RGS,245
3007,DNR,SIKR,239
3007,DNR,JJN,241
3007,DNR,LHU,170
3007,DNR,SDLP,179
3007,DNR,HSR,165
3007,ARA,BXR,196
3007,ARA,DDU,203
3007,ARA,PRYJ,211
3007,ARA,GOY,226
3007,ARA,TDL,163
3007,ARA,AF,166
3007,ARA,CNB,155
3007,ARA,ETW,360
3007,ARA,FAB,500
3007,ARA,SSDT,378
3007,ARA,AGC,354
3007,ARA,AH,194
3007,ARA,BTE,401
3007,ARA,BKI,216
3007,ARA,DO,219
3007,ARA,KWP,209
3007,ARA,JP,251
3007,ARA,RGS,245
3007,ARA,SIKR,239
3007,ARA,JJN,241
3007,ARA,LHU,170
3007,ARA,SDLP,179
3007,ARA,HSR,165
3007,BXR,DDU,203
3007,BXR,PRYJ,211
3007,BXR,GOY,226
3007,BXR,TDL,163
3007,BXR,AF,166
3007,BXR,CNB,155
3007,BXR,ETW,360
3007,BXR,FAB,500
3007,BXR,SSDT,378
3007,BXR,AGC,354
3007,BXR,AH,194
3007,BXR,BTE,401
3007,BXR,BKI,216
3007,BXR,DO,219
3007,BXR,KWP,209
3007,BXR,JP,251
3007,BXR,RGS,245
3007,BXR,SIKR,239
3007,BXR,JJN,241
3007,BXR,LHU,170
3007,BXR,SDLP,179
3007,BXR,HSR,165
3007,DDU,PRYJ,211
3007,DDU,GOY,226
3007,DDU,TDL,163
3007,DDU,AF,166
3007,DDU,CNB,155
3007,DDU,ETW,360
3007,DDU,FAB,500
3007,DDU,SSDT,378
3007,DDU,AGC,354
3007,DDU,AH,194
3007,DDU,BTE,401
3007,DDU,BKI,216
3007,DDU,DO,219
3007,DDU,KWP,209
3007,DDU,JP,251
3007,DDU,RGS,245
3007,DDU,SIKR,239
3007,DDU,JJN,241
3007,DDU,LHU,170
3007,DDU,SDLP,179
3007,DDU,HSR,165
3007,PRYJ,GOY,226
3007,PRYJ,TDL,163
3007,PRYJ,AF,166
3007,PRYJ,CNB,155
3007,PRYJ,ETW,360
3007,PRYJ,FAB,500
3007,PRYJ,SSDT,378
3007,PRYJ,AGC,354
3007,PRYJ,AH,194
3007,PRYJ,BTE,401
3007,PRYJ,BKI,216
3007,PRYJ,DO,219
3007,PRYJ,KWP,209
3007,PRYJ,JP,251
3007,PRYJ,RGS,245
3007,PRYJ,SIKR,239
3007,PRYJ,JJN,241
3007,PRYJ,LHU,170
3007,PRYJ,SDLP,179
3007,PRYJ,HSR,165
3007,GOY,TDL,163
3007,GOY,AF,166
3007,GOY,CNB,155
3007,GOY,ETW,360
3007,GOY,FAB,500
3007,GOY,SSDT,378
3007,GOY,AGC,354
3007,GOY,AH,194
3007,GOY,BTE,401
3007,GOY,BKI,216
3007,GOY,DO,219
