category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
SECOND AC (2A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),A2,14,Upper Berth,,3
SECOND AC (2A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,29,Side Lower Berth,,5
SECOND AC (2A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),2,NEW DELHI (NDLS),ALIGARH JN (ALJN),A2,27,Lower Berth,,5
SECOND AC (2A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,45,Lower Berth,,8
SECOND AC (2A),2,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),A2,1,Lower Berth,,1
SECOND AC (2A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,40,Upper Berth,,7
SECOND AC (2A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,44,Upper Berth,,8
SECOND AC (2A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,30,Side Upper Berth,,5
SECOND AC (2A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,28,Upper Berth,,5
SECOND AC (2A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,26,Upper Berth,,5
SECOND AC (2A),2,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),HA1,26,Upper Berth,,5
SECOND AC (2A),2,KIUL JN (KIUL),ASANSOL JN (ASN),HA1,6,Side Upper Berth,,1
SECOND AC (2A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),3,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),HA1,5,Side Lower Berth,,1
SECOND AC (2A),3,BUXAR (BXR),PATNA JN (PNBE),A2,44,Upper Berth,,8
SECOND AC (2A),3,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),HA1,22,Upper Berth,,4
SECOND AC (2A),3,JASIDIH JN (JSME),ASANSOL JN (ASN),HA1,4,Upper Berth,,1
SECOND AC (2A),3,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),HA1,4,Upper Berth,,1
SECOND AC (2A),3,DURGAPUR (DGR),HOWRAH JN (HWH),A2,52,Side Upper Berth,,9
SECOND AC (2A),3,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),HA1,28,Upper Berth,,5
SECOND AC (2A),3,KIUL JN (KIUL),ASANSOL JN (ASN),HA1,18,Side Upper Berth,,3
SECOND AC (2A),3,KIUL JN (KIUL),ASANSOL JN (ASN),HA1,5,Side Lower Berth,,1
SECOND AC (2A),3,JHAJHA (JAJ),JASIDIH JN (JSME),A2,51,Side Lower Berth,,9
SECOND AC (2A),4,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),4,JASIDIH JN (JSME),ASANSOL JN (ASN),A2,31,Lower Berth,,6
SECOND AC (2A),4,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),HA1,6,Side Upper Berth,,1
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,35,Side Lower Berth,,6
SECOND AC (2A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,40,Upper Berth,,7
SECOND AC (2A),4,DURGAPUR (DGR),HOWRAH JN (HWH),A2,25,Lower Berth,,5
SECOND AC (2A),4,PATNA JN (PNBE),JASIDIH JN (JSME),A2,7,Lower Berth,,2
SECOND AC (2A),4,DURGAPUR (DGR),HOWRAH JN (HWH),A2,48,Side Upper Berth,,8
SECOND AC (2A),4,DURGAPUR (DGR),HOWRAH JN (HWH),A2,9,Lower Berth,,2
SECOND AC (2A),4,PATNA JN (PNBE),BARH (BARH),A2,29,Side Lower Berth,,5
SECOND AC (2A),4,PATNA JN (PNBE),BAKHTIYARPUR JN (BKP),A2,30,Side Upper Berth,,5
SECOND AC (2A),5,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),5,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),A2,12,Side Upper Berth,,2
SECOND AC (2A),5,JASIDIH JN (JSME),HOWRAH JN (HWH),A2,32,Upper Berth,,6
SECOND AC (2A),5,JASIDIH JN (JSME),ASANSOL JN (ASN),A2,33,Lower Berth,,6
SECOND AC (2A),5,JASIDIH JN (JSME),HOWRAH JN (HWH),A2,34,Upper Berth,,6
SECOND AC (2A),5,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,38,Upper Berth,,7
SECOND AC (2A),5,DURGAPUR (DGR),HOWRAH JN (HWH),A1,43,Lower Berth,,8
SECOND AC (2A),5,KIUL JN (KIUL),ASANSOL JN (ASN),HA1,17,Side Lower Berth,,3
SECOND AC (2A),5,DD UPADHYAYA JN (DDU),ARA JN (ARA),A2,3,Lower Berth,,1
SECOND AC (2A),5,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,5,Side Lower Berth,,1
SECOND AC (2A),5,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),A1,39,Lower Berth,,7
SECOND AC (2A),6,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),6,DURGAPUR (DGR),HOWRAH JN (HWH),A1,36,Side Upper Berth,,6
SECOND AC (2A),6,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),A2,10,Upper Berth,,2
SECOND AC (2A),6,BAKHTIYARPUR JN (BKP),MOKAMEH JN (MKA),A1,36,Side Upper Berth,,6
SECOND AC (2A),6,BARH (BARH),MOKAMEH JN (MKA),A1,34,Upper Berth,,6
SECOND AC (2A),6,BAKHTIYARPUR JN (BKP),HOWRAH JN (HWH),A2,37,Lower Berth,,7
SECOND AC (2A),6,JASIDIH JN (JSME),HOWRAH JN (HWH),A2,18,Side Upper Berth,,3
SECOND AC (2A),6,ASANSOL JN (ASN),HOWRAH JN (HWH),A2,39,Lower Berth,,7
SECOND AC (2A),6,ASANSOL JN (ASN),HOWRAH JN (HWH),A1,26,Upper Berth,,5
SECOND AC (2A),6,BAKHTIYARPUR JN (BKP),MADHUPUR JN (MDP),A1,44,Upper Berth,,8
SECOND AC (2A),6,JASIDIH JN (JSME),HOWRAH JN (HWH),A2,24,Side Upper Berth,,4
SECOND AC (2A),7,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),7,CHITTARANJAN (CRJ),HOWRAH JN (HWH),A1,21,Lower Berth,,4
SECOND AC (2A),7,CHITTARANJAN (CRJ),HOWRAH JN (HWH),A1,20,Upper Berth,,4
SECOND AC (2A),7,CHITTARANJAN (CRJ),HOWRAH JN (HWH),A1,19,Lower Berth,,4
SECOND AC (2A),7,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),A1,18,Side Upper Berth,,3
SECOND AC (2A),7,DURGAPUR (DGR),HOWRAH JN (HWH),A1,34,Upper Berth,,6
SECOND AC (2A),7,KIUL JN (KIUL),JASIDIH JN (JSME),A1,16,Upper Berth,,3
SECOND AC (2A),7,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),A1,33,Lower Berth,,6
SECOND AC (2A),7,PATNA JN (PNBE),JAMUI (JMU),A1,14,Upper Berth,,3
SECOND AC (2A),7,JASIDIH JN (JSME),MADHUPUR JN (MDP),A1,32,Upper Berth,,6
SECOND AC (2A),7,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),HA1,11,Side Lower Berth,,2
SECOND AC (2A),8,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),8,JASIDIH JN (JSME),HOWRAH JN (HWH),A2,17,Side Lower Berth,,3
SECOND AC (2A),8,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),A1,6,Side Upper Berth,,1
SECOND AC (2A),8,KIUL JN (KIUL),JASIDIH JN (JSME),A1,27,Lower Berth,,5
SECOND AC (2A),8,ARA JN (ARA),PATNA JN (PNBE),A1,6,Side Upper Berth,,1
SECOND AC (2A),8,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),A1,25,Lower Berth,,5
SECOND AC (2A),8,PATNA JN (PNBE),MOKAMEH JN (MKA),A1,43,Lower Berth,,8
SECOND AC (2A),8,CHITTARANJAN (CRJ),HOWRAH JN (HWH),A1,22,Upper Berth,,4
THIRD AC (3A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),B2,18,Middle Berth,,3
THIRD AC (3A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),B2,19,Upper Berth,,3
THIRD AC (3A),1,ALIGARH JN (ALJN),ETAWAH JN (ETW),B1,50,Middle Berth,,7
THIRD AC (3A),1,ALIGARH JN (ALJN),KANPUR CENTRAL (CNB),B1,51,Upper Berth,,7
THIRD AC (3A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),B1,59,Upper Berth,,8
THIRD AC (3A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),B2,23,Side Lower Berth,,3
THIRD AC (3A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),B2,24,Side Upper Berth,,3
THIRD AC (3A),1,ETAWAH JN (ETW),KANPUR CENTRAL (CNB),B1,62,Upper Berth,,8
THIRD AC (3A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),B1,64,Side Upper Berth,,8
THIRD AC (3A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),B2,12,Lower Berth,,2
THIRD AC (3A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),B2,21,Middle Berth,,3
THIRD AC (3A),2,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B2,63,Side Lower Berth,,8
THIRD AC (3A),2,ETAWAH JN (ETW),ARA JN (ARA),B1,65,Lower Berth,,9
THIRD AC (3A),2,NEW DELHI (NDLS),ALIGARH JN (ALJN),B4,10,Middle Berth,,2
THIRD AC (3A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),B3,19,Upper Berth,,3
THIRD AC (3A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),B3,36,Lower Berth,,5
THIRD AC (3A),2,ALIGARH JN (ALJN),ETAWAH JN (ETW),B4,16,Side Upper Berth,,2
THIRD AC (3A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),B3,38,Upper Berth,,5
THIRD AC (3A),2,NEW DELHI (NDLS),TUNDLA JN (TDL),B3,37,Middle Berth,,5
THIRD AC (3A),2,ALIGARH JN (ALJN),TUNDLA JN (TDL),B5,4,Lower Berth,,1
THIRD AC (3A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),3,NEW DELHI (NDLS),TUNDLA JN (TDL),B5,3,Upper Berth,,1
THIRD AC (3A),3,ALIGARH JN (ALJN),TUNDLA JN (TDL),B5,1,Lower Berth,,1
THIRD AC (3A),3,NEW DELHI (NDLS),TUNDLA JN (TDL),B5,34,Middle Berth,,5
THIRD AC (3A),3,NEW DELHI (NDLS),TUNDLA JN (TDL),B5,33,Lower Berth,,5
THIRD AC (3A),3,NEW DELHI (NDLS),ALIGARH JN (ALJN),B4,14,Upper Berth,,2
THIRD AC (3A),3,NEW DELHI (NDLS),TUNDLA JN (TDL),B5,6,Upper Berth,,1
THIRD AC (3A),3,NEW DELHI (NDLS),TUNDLA JN (TDL),B5,5,Middle Berth,,1
THIRD AC (3A),3,NEW DELHI (NDLS),TUNDLA JN (TDL),B5,2,Middle Berth,,1
THIRD AC (3A),3,NEW DELHI (NDLS),ALIGARH JN (ALJN),B4,11,Upper Berth,,2
THIRD AC (3A),3,NEW DELHI (NDLS),ETAWAH JN (ETW),B4,13,Middle Berth,,2
THIRD AC (3A),4,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),4,NEW DELHI (NDLS),ETAWAH JN (ETW),B5,23,Side Lower Berth,,3
THIRD AC (3A),4,NEW DELHI (NDLS),TUNDLA JN (TDL),B6,20,Lower Berth,,3
THIRD AC (3A),4,NEW DELHI (NDLS),ALIGARH JN (ALJN),B4,31,Side Lower Berth,,4
THIRD AC (3A),4,NEW DELHI (NDLS),ETAWAH JN (ETW),B5,69,Middle Berth,,9
THIRD AC (3A),4,ALIGARH JN (ALJN),ETAWAH JN (ETW),B6,49,Lower Berth,,7
THIRD AC (3A),4,NEW DELHI (NDLS),TUNDLA JN (TDL),B6,12,Lower Berth,,2
THIRD AC (3A),4,NEW DELHI (NDLS),ETAWAH JN (ETW),B5,70,Upper Berth,,9
THIRD AC (3A),4,NEW DELHI (NDLS),TUNDLA JN (TDL),B5,24,Side Upper Berth,,3
THIRD AC (3A),4,NEW DELHI (NDLS),TUNDLA JN (TDL),B6,9,Lower Berth,,2
THIRD AC (3A),4,NEW DELHI (NDLS),ETAWAH JN (ETW),B6,65,Lower Berth,,9
THIRD AC (3A),5,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),5,JAMUI (JMU),HOWRAH JN (HWH),B6,40,Side Upper Berth,,5
THIRD AC (3A),5,PATNA JN (PNBE),JAMUI (JMU),B6,48,Side Upper Berth,,6
THIRD AC (3A),5,DURGAPUR (DGR),HOWRAH JN (HWH),B5,71,Side Lower Berth,,9
THIRD AC (3A),5,JHAJHA (JAJ),HOWRAH JN (HWH),B6,28,Lower Berth,,4
THIRD AC (3A),5,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,51,Upper Berth,,7
THIRD AC (3A),5,ASANSOL JN (ASN),HOWRAH JN (HWH),B6,71,Side Lower Berth,,9
THIRD AC (3A),5,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,24,Side Upper Berth,,3
THIRD AC (3A),5,MADHUPUR JN (MDP),HOWRAH JN (HWH),B6,63,Side Lower Berth,,8
THIRD AC (3A),5,JAMUI (JMU),HOWRAH JN (HWH),B6,22,Upper Berth,,3
THIRD AC (3A),5,ARA JN (ARA),JAMUI (JMU),B5,31,Side Lower Berth,,4
THIRD AC (3A),6,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),6,KIUL JN (KIUL),HOWRAH JN (HWH),B6,34,Middle Berth,,5
THIRD AC (3A),6,JASIDIH JN (JSME),JAMTARA (JMT),B6,51,Upper Berth,,7
THIRD AC (3A),6,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,70,Upper Berth,,9
THIRD AC (3A),6,ASANSOL JN (ASN),HOWRAH JN (HWH),B5,47,Side Lower Berth,,6
THIRD AC (3A),6,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,23,Side Lower Berth,,3
THIRD AC (3A),6,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,11,Upper Berth,,2
THIRD AC (3A),6,JHAJHA (JAJ),HOWRAH JN (HWH),B6,14,Upper Berth,,2
THIRD AC (3A),6,KIUL JN (KIUL),JASIDIH JN (JSME),B6,49,Lower Berth,,7
THIRD AC (3A),6,JHAJHA (JAJ),HOWRAH JN (HWH),B6,30,Upper Berth,,4
THIRD AC (3A),6,JHAJHA (JAJ),JASIDIH JN (JSME),B5,2,Middle Berth,,1
THIRD AC (3A),7,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),7,PATNA JN (PNBE),BARH (BARH),B6,66,Middle Berth,,9
THIRD AC (3A),7,BUXAR (BXR),MADHUPUR JN (MDP),B5,7,Side Lower Berth,,1
THIRD AC (3A),7,JASIDIH JN (JSME),HOWRAH JN (HWH),B6,3,Upper Berth,,1
THIRD AC (3A),7,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,49,Lower Berth,,7
THIRD AC (3A),7,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B4,70,Upper Berth,,9
THIRD AC (3A),7,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,37,Middle Berth,,5
THIRD AC (3A),7,JAMUI (JMU),HOWRAH JN (HWH),B6,10,Middle Berth,,2
THIRD AC (3A),7,JHAJHA (JAJ),JASIDIH JN (JSME),B5,1,Lower Berth,,1
THIRD AC (3A),7,KIUL JN (KIUL),MADHUPUR JN (MDP),B6,47,Side Lower Berth,,6
THIRD AC (3A),7,BUXAR (BXR),BARH (BARH),B6,65,Lower Berth,,9
THIRD AC (3A),8,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),8,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,34,Middle Berth,,5
THIRD AC (3A),8,JAMUI (JMU),HOWRAH JN (HWH),B4,72,Side Upper Berth,,9
THIRD AC (3A),8,KIUL JN (KIUL),JASIDIH JN (JSME),B6,41,Lower Berth,,6
THIRD AC (3A),8,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,38,Upper Berth,,5
THIRD AC (3A),8,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B5,34,Middle Berth,,5
THIRD AC (3A),8,JAMUI (JMU),HOWRAH JN (HWH),B6,11,Upper Berth,,2
THIRD AC (3A),8,PATNA JN (PNBE),BARH (BARH),B5,61,Middle Berth,,8
THIRD AC (3A),8,JHAJHA (JAJ),HOWRAH JN (HWH),B6,29,Middle Berth,,4
THIRD AC (3A),8,DURGAPUR (DGR),HOWRAH JN (HWH),B4,38,Upper Berth,,5
THIRD AC (3A),8,JHAJHA (JAJ),HOWRAH JN (HWH),B6,27,Upper Berth,,4
THIRD AC (3A),9,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),9,ASANSOL JN (ASN),HOWRAH JN (HWH),B6,6,Upper Berth,,1
THIRD AC (3A),9,ASANSOL JN (ASN),HOWRAH JN (HWH),B6,5,Middle Berth,,1
THIRD AC (3A),9,CHITTARANJAN (CRJ),HOWRAH JN (HWH),B4,32,Side Upper Berth,,4
THIRD AC (3A),9,MOKAMEH JN (MKA),HOWRAH JN (HWH),B5,48,Side Upper Berth,,6
THIRD AC (3A),9,ARA JN (ARA),DANAPUR (DNR),B4,32,Side Upper Berth,,4
THIRD AC (3A),9,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,21,Middle Berth,,3
THIRD AC (3A),9,JAMTARA (JMT),HOWRAH JN (HWH),B4,30,Upper Berth,,4
THIRD AC (3A),9,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,19,Upper Berth,,3
THIRD AC (3A),9,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,18,Middle Berth,,3
THIRD AC (3A),9,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,35,Upper Berth,,5
THIRD AC (3A),10,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),10,JAMTARA (JMT),CHITTARANJAN (CRJ),B4,4,Lower Berth,,1
THIRD AC (3A),10,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,72,Side Upper Berth,,9
THIRD AC (3A),10,PATNA JN (PNBE),BARH (BARH),B5,60,Lower Berth,,8
THIRD AC (3A),10,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B5,21,Middle Berth,,3
THIRD AC (3A),10,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B4,18,Middle Berth,,3
THIRD AC (3A),10,JAMUI (JMU),HOWRAH JN (HWH),B6,7,Side Lower Berth,,1
THIRD AC (3A),10,JAMUI (JMU),JASIDIH JN (JSME),B5,24,Side Upper Berth,,3
THIRD AC (3A),10,DURGAPUR (DGR),HOWRAH JN (HWH),B4,35,Upper Berth,,5
THIRD AC (3A),10,DURGAPUR (DGR),HOWRAH JN (HWH),B4,13,Middle Berth,,2
THIRD AC (3A),10,BUXAR (BXR),MADHUPUR JN (MDP),B5,8,Side Upper Berth,,1
THIRD AC (3A),11,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),11,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,50,Middle Berth,,7
THIRD AC (3A),11,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,52,Lower Berth,,7
THIRD AC (3A),11,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,53,Middle Berth,,7
THIRD AC (3A),11,KIUL JN (KIUL),HOWRAH JN (HWH),B6,36,Lower Berth,,5
THIRD AC (3A),11,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,15,Side Lower Berth,,2
THIRD AC (3A),11,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B3,67,Upper Berth,,9
THIRD AC (3A),11,JASIDIH JN (JSME),HOWRAH JN (HWH),B6,33,Lower Berth,,5
THIRD AC (3A),11,DURGAPUR (DGR),HOWRAH JN (HWH),B5,39,Side Lower Berth,,5
THIRD AC (3A),11,PATNA JN (PNBE),BARH (BARH),B5,40,Side Upper Berth,,5
THIRD AC (3A),11,MADHUPUR JN (MDP),HOWRAH JN (HWH),B5,22,Upper Berth,,3
THIRD AC (3A),12,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),12,DURGAPUR (DGR),HOWRAH JN (HWH),B4,16,Side Upper Berth,,2
THIRD AC (3A),12,MADHUPUR JN (MDP),CHITTARANJAN (CRJ),B4,15,Side Lower Berth,,2
THIRD AC (3A),12,KIUL JN (KIUL),JASIDIH JN (JSME),B3,57,Lower Berth,,8
THIRD AC (3A),12,DURGAPUR (DGR),HOWRAH JN (HWH),B4,12,Lower Berth,,2
THIRD AC (3A),12,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B3,40,Side Upper Berth,,5
THIRD AC (3A),12,JASIDIH JN (JSME),JAMTARA (JMT),B3,61,Middle Berth,,8
THIRD AC (3A),12,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B6,37,Middle Berth,,5
THIRD AC (3A),12,BARH (BARH),JASIDIH JN (JSME),B5,34,Middle Berth,,5
THIRD AC (3A),12,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B5,33,Lower Berth,,5
THIRD AC (3A),12,CHITTARANJAN (CRJ),HOWRAH JN (HWH),B3,65,Lower Berth,,9
THIRD AC (3A),13,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),13,JHAJHA (JAJ),HOWRAH JN (HWH),B6,13,Middle Berth,,2
THIRD AC (3A),13,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B4,2,Middle Berth,,1
THIRD AC (3A),13,JAMTARA (JMT),CHITTARANJAN (CRJ),B4,1,Lower Berth,,1
THIRD AC (3A),13,JHAJHA (JAJ),JASIDIH JN (JSME),B2,68,Lower Berth,,9
THIRD AC (3A),13,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B4,56,Side Upper Berth,,7
THIRD AC (3A),13,KIUL JN (KIUL),CHITTARANJAN (CRJ),B3,58,Middle Berth,,8
THIRD AC (3A),13,DURGAPUR (DGR),HOWRAH JN (HWH),B3,39,Side Lower Berth,,5
THIRD AC (3A),13,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B3,37,Middle Berth,,5
THIRD AC (3A),13,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B3,38,Upper Berth,,5
THIRD AC (3A),13,ASANSOL JN (ASN),HOWRAH JN (HWH),B5,32,Side Upper Berth,,4
THIRD AC (3A),14,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),14,JAMTARA (JMT),HOWRAH JN (HWH),B4,28,Lower Berth,,4
THIRD AC (3A),14,BARH (BARH),JASIDIH JN (JSME),B5,33,Lower Berth,,5
THIRD AC (3A),14,BAKHTIYARPUR JN (BKP),JASIDIH JN (JSME),B5,15,Side Lower Berth,,2
THIRD AC (3A),14,JAMTARA (JMT),CHITTARANJAN (CRJ),B4,25,Lower Berth,,4
THIRD AC (3A),14,JASIDIH JN (JSME),CHITTARANJAN (CRJ),B3,25,Lower Berth,,4
THIRD AC (3A),14,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B5,38,Upper Berth,,5
THIRD AC (3A),14,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,69,Middle Berth,,9
THIRD AC (3A),14,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B3,70,Upper Berth,,9
THIRD AC (3A),14,BARDDHAMAN JN (BWN),HOWRAH JN (HWH),B3,71,Side Lower Berth,,9
THIRD AC (3A),14,DURGAPUR (DGR),HOWRAH JN (HWH),B4,19,Upper Berth,,3
THIRD AC (3A),15,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),15,ARA JN (ARA),PATNA JN (PNBE),B2,28,Lower Berth,,4
THIRD AC (3A),15,DURGAPUR (DGR),HOWRAH JN (HWH),B4,37,Middle Berth,,5
THIRD AC (3A),15,DURGAPUR (DGR),HOWRAH JN (HWH),B3,16,Side Upper Berth,,2
THIRD AC (3A),15,PATNA JN (PNBE),BAKHTIYARPUR JN (BKP),B3,36,Lower Berth,,5
THIRD AC (3A),15,PATNA JN (PNBE),BAKHTIYARPUR JN (BKP),B3,37,Middle Berth,,5
THIRD AC (3A),15,PATNA JN (PNBE),BAKHTIYARPUR JN (BKP),B3,38,Upper Berth,,5
THIRD AC (3A),15,MOKAMEH JN (MKA),KIUL JN (KIUL),B3,20,Lower Berth,,3
THIRD AC (3A),15,MOKAMEH JN (MKA),KIUL JN (KIUL),B3,21,Middle Berth,,3
THIRD AC (3A),15,JAMUI (JMU),HOWRAH JN (HWH),B4,29,Middle Berth,,4
